"시군구별(1)",시군구별(2),2024,2024,2024,2024,2024,2024,2024,2024,2024
"시군구별(1)",시군구별(2),합계,합계,합계,심한장애,심한장애,심한장애,심하지않은장애,심하지않은장애,심하지않은장애
"시군구별(1)",시군구별(2),소계,남자,여자,소계,남자,여자,소계,남자,여자
"광주광역시",광산구,17516,10252,7264,7165,4258,2907,10351,5994,4357
"대전광역시",소계,71344,41791,29553,27982,16741,11241,43362,25050,18312
"대전광역시",동구,14252,8376,5876,5648,3382,2266,8604,4994,3610
"대전광역시",중구,13623,7931,5692,5197,3148,2049,8426,4783,3643
"대전광역시",서구,20245,11776,8469,7886,4666,3220,12359,7110,5249
"대전광역시",유성구,12531,7437,5094,4938,2978,1960,7593,4459,3134
"대전광역시",대덕구,10693,6271,4422,4313,2567,1746,6380,3704,2676
"울산광역시",소계,51055,31007,20048,18874,11471,7403,32181,19536,12645
"울산광역시",중구,10575,6368,4207,3608,2189,1419,6967,4179,2788
"울산광역시",남구,12695,7777,4918,4626,2855,1771,8069,4922,3147
"울산광역시",동구,7349,4495,2854,2692,1656,1036,4657,2839,1818
"울산광역시",북구,8765,5435,3330,3411,2092,1319,5354,3343,2011
"울산광역시",울주군,11671,6932,4739,4537,2679,1858,7134,4253,2881
"세종특별자치시",소계,12993,7885,5108,4980,3094,1886,8013,4791,3222
"경기도",소계,587910,350232,237678,213886,129179,84707,374024,221053,152971
"경기도",수원시장안구,11264,6572,4692,4065,2462,1603,7199,4110,3089
"경기도",수원시권선구,15356,9158,6198,5625,3340,2285,9731,5818,3913
"경기도",수원시팔달구,8859,5189,3670,3343,1998,1345,5516,3191,2325
"경기도",수원시영통구,9080,5373,3707,3384,2045,1339,5696,3328,2368
"경기도",성남시수정구,11159,6590,4569,3912,2364,1548,7247,4226,3021
"경기도",성남시중원구,10840,6469,4371,3925,2361,1564,6915,4108,2807
"경기도",성남시분당구,13633,7713,5920,5400,3194,2206,8233,4519,3714
"경기도",의정부시,22389,12960,9429,8177,4847,3330,14212,8113,6099
"경기도",안양시만안구,11184,6690,4494,3687,2257,1430,7497,4433,3064
"경기도",안양시동안구,10537,6071,4466,3722,2208,1514,6815,3863,2952
"경기도",부천시원미구,17592,10722,6870,6673,4105,2568,10919,6617,4302
"경기도",부천시소사구,11278,6782,4496,3958,2409,1549,7320,4373,2947
"경기도",부천시오정구,8586,5114,3472,3047,1817,1230,5539,3297,2242
"경기도",광명시,12151,7183,4968,4531,2719,1812,7620,4464,3156
"경기도",평택시,26044,15589,10455,9176,5459,3717,16868,10130,6738
"경기도",동두천시,6287,3603,2684,2518,1482,1036,3769,2121,1648
"경기도",안산시상록구,17382,10597,6785,6219,3791,2428,11163,6806,4357
"경기도",안산시단원구,15654,9588,6066,5551,3397,2154,10103,6191,3912
"경기도",고양시덕양구,20372,11720,8652,7169,4248,2921,13203,7472,5731
"경기도",고양시일산동구,11080,6364,4716,4367,2635,1732,6713,3729,2984
"경기도",고양시일산서구,10615,6082,4533,4102,2461,1641,6513,3621,2892
"경기도",과천시,2424,1403,1021,891,533,358,1533,870,663
"경기도",구리시,8524,5089,3435,2963,1821,1142,5561,3268,2293
"경기도",남양주시,33166,19750,13416,11494,7014,4480,21672,12736,8936
"경기도",오산시,9388,5697,3691,3665,2209,1456,5723,3488,2235
"경기도",시흥시,22471,14086,8385,7880,4887,2993,14591,9199,5392
"경기도",군포시,11673,6880,4793,4083,2488,1595,7590,4392,3198
"경기도",의왕시,6367,3712,2655,2170,1274,896,4197,2438,1759
"경기도",하남시,11923,7084,4839,4208,2556,1652,7715,4528,3187
"경기도",용인시처인구,13641,7932,5709,5186,2894,2292,8455,5038,3417
"경기도",용인시기흥구,15006,8710,6296,5494,3275,2219,9512,5435,4077
"경기도",용인시수지구,9110,5294,3816,3148,1882,1266,5962,3412,2550
"경기도",파주시,22912,13543,9369,8572,5199,3373,14340,8344,5996
"경기도",이천시,10884,6612,4272,4368,2676,1692,6516,3936,2580
"경기도",안성시,11207,6749,4458,4229,2570,1659,6978,4179,2799
"경기도",김포시,18820,11447,7373,6673,4114,2559,12147,7333,4814
"경기도",화성시,32634,20248,12386,11590,7144,4446,21044,13104,7940
"경기도",광주시,17786,10919,6867,6321,3890,2431,11465,7029,4436
"경기도",양주시,14169,8461,5708,5286,3125,2161,8883,5336,3547
"경기도",포천시,10236,6213,4023,3722,2297,1425,6514,3916,2598
"경기도",여주시,7491,4467,3024,3022,1858,1164,4469,2609,1860
"경기도",연천군,3367,1935,1432,1155,705,450,2212,1230,982
"경기도",가평군,5079,3004,2075,2110,1274,836,2969,1730,1239
"경기도",양평군,8290,4868,3422,3105,1895,1210,5185,2973,2212
"강원특별자치도",소계,99542,57639,41903,36833,22264,14569,62709,35375,27334
"강원특별자치도",춘천시,15310,9010,6300,5948,3622,2326,9362,5388,3974
"강원특별자치도",원주시,19629,11374,8255,7646,4568,3078,11983,6806,5177
"강원특별자치도",강릉시,13199,7551,5648,5064,3055,2009,8135,4496,3639
"강원특별자치도",동해시,6562,3776,2786,2348,1453,895,4214,2323,1891
"강원특별자치도",태백시,4002,2277,1725,1422,905,517,2580,1372,1208
"강원특별자치도",속초시,4798,2811,1987,1692,1027,665,3106,1784,1322
"강원특별자치도",삼척시,5250,2961,2289,1880,1133,747,3370,1828,1542
"강원특별자치도",홍천군,5018,2998,2020,1816,1098,718,3202,1900,1302
"강원특별자치도",횡성군,3720,2193,1527,1259,737,522,2461,1456,1005
"강원특별자치도",영월군,3331,1911,1420,1148,698,450,2183,1213,970
"강원특별자치도",평창군,3071,1770,1301,1047,616,431,2024,1154,870
"강원특별자치도",정선군,3166,1822,1344,1092,677,415,2074,1145,929
"강원특별자치도",철원군,2956,1698,1258,1099,649,450,1857,1049,808
"강원특별자치도",화천군,1662,968,694,577,358,219,1085,610,475
"강원특별자치도",양구군,1406,796,610,471,277,194,935,519,416
"강원특별자치도",인제군,1966,1139,827,729,426,303,1237,713,524
"강원특별자치도",고성군,2219,1254,965,756,447,309,1463,807,656
"강원특별자치도",양양군,2277,1330,947,839,518,321,1438,812,626
"충청북도",소계,96694,55831,40863,37102,22054,15048,59592,33777,25815
"충청북도",청주시상당구,10520,6007,4513,4312,2510,1802,6208,3497,2711
"충청북도",청주시서원구,9931,5747,4184,4013,2374,1639,5918,3373,2545
"충청북도",청주시흥덕구,11250,6711,4539,4290,2597,1693,6960,4114,2846
"충청북도",청주시청원구,8849,5142,3707,3380,2033,1347,5469,3109,2360
"충청북도",충주시,13359,7630,5729,5036,2970,2066,8323,4660,3663
"충청북도",제천시,10217,5943,4274,3829,2329,1500,6388,3614,2774
"충청북도",보은군,3080,1758,1322,1063,665,398,2017,1093,924
"충청북도",옥천군,4897,2705,2192,1836,1075,761,3061,1630,1431
"충청북도",영동군,4165,2283,1882,1385,784,601,2780,1499,1281
"충청북도",증평군,2427,1436,991,983,606,377,1444,830,614
"충청북도",진천군,4560,2661,1899,1639,969,670,2921,1692,1229
"충청북도",괴산군,3523,1933,1590,1231,708,523,2292,1225,1067
"충청북도",음성군,7258,4341,2917,3200,1892,1308,4058,2449,1609
"충청북도",단양군,2658,1534,1124,905,542,363,1753,992,761
"충청남도",소계,133136,76496,56640,48491,28824,19667,84645,47672,36973
"충청남도",천안시 동남구,12895,7648,5247,4975,2955,2020,7920,4693,3227
"충청남도",천안시 서북구,14539,8793,5746,5771,3376,2395,8768,5417,3351
"충청남도",공주시,8524,4872,3652,3423,2043,1380,5101,2829,2272
"충청남도",보령시,8506,4860,3646,3237,1983,1254,5269,2877,2392
"충청남도",아산시,16522,9809,6713,6212,3754,2458,10310,6055,4255
"충청남도",서산시,10474,6011,4463,3554,2134,1420,6920,3877,3043
"충청남도",논산시,9889,5523,4366,3918,2253,1665,5971,3270,2701
"충청남도",계룡시,1747,993,754,612,359,253,1135,634,501
"충청남도",당진시,10639,6338,4301,3574,2125,1449,7065,4213,2852
"충청남도",금산군,4498,2491,2007,1535,938,597,2963,1553,1410
"충청남도",부여군,6670,3687,2983,2381,1436,945,4289,2251,2038
"충청남도",서천군,5312,2861,2451,1780,1050,730,3532,1811,1721
"충청남도",청양군,3099,1651,1448,978,563,415,2121,1088,1033
"충청남도",홍성군,7209,4043,3166,2530,1508,1022,4679,2535,2144
"충청남도",예산군,7380,3994,3386,2337,1346,991,5043,2648,2395
"충청남도",태안군,5233,2922,2311,1674,1001,673,3559,1921,1638
"전북특별자치도",소계,128993,70954,58039,46557,26927,19630,82436,44027,38409
"전북특별자치도",전주시완산구,18444,10307,8137,6999,4055,2944,11445,6252,5193
"전북특별자치도",전주시덕진구,15364,8720,6644,5465,3189,2276,9899,5531,4368
"전북특별자치도",군산시,17371,10064,7307,6169,3710,2459,11202,6354,4848
"전북특별자치도",익산시,20301,11407,8894,7747,4494,3253,12554,6913,5641
"전북특별자치도",정읍시,9699,5170,4529,3541,2035,1506,6158,3135,3023
"전북특별자치도",남원시,7371,3938,3433,2737,1559,1178,4634,2379,2255
"전북특별자치도",김제시,8958,4652,4306,3143,1760,1383,5815,2892,2923
"전북특별자치도",완주군,8181,4554,3627,3010,1760,1250,5171,2794,2377
"전북특별자치도",진안군,2713,1405,1308,862,474,388,1851,931,920
"전북특별자치도",무주군,2348,1256,1092,736,395,341,1612,861,751
"전북특별자치도",장수군,2279,1159,1120,682,389,293,1597,770,827
"전북특별자치도",임실군,3032,1581,1451,1042,572,470,1990,1009,981
"전북특별자치도",순창군,2802,1423,1379,951,560,391,1851,863,988
"전북특별자치도",고창군,5274,2720,2554,1787,1019,768,3487,1701,1786
"전북특별자치도",부안군,4856,2598,2258,1686,956,730,3170,1642,1528
"전라남도",소계,134551,72614,61937,48431,28257,20174,86120,44357,41763
"전라남도",목포시,13454,7433,6021,5208,3068,2140,8246,4365,3881
"전라남도",여수시,17307,9597,7710,6155,3646,2509,11152,5951,5201
"전라남도",순천시,15477,8746,6731,5496,3192,2304,9981,5554,4427
"전라남도",나주시,8255,4444,3811,3307,1928,1379,4948,2516,2432
"전라남도",광양시,7801,4477,3324,2803,1679,1124,4998,2798,2200
"전라남도",담양군,3887,2127,1760,1398,819,579,2489,1308,1181
"전라남도",곡성군,3030,1513,1517,1038,565,473,1992,948,1044
"전라남도",구례군,2571,1380,1191,833,485,348,1738,895,843
"전라남도",고흥군,6909,3554,3355,2347,1388,959,4562,2166,2396
"전라남도",보성군,4114,2135,1979,1413,783,630,2701,1352,1349
"전라남도",화순군,5052,2737,2315,1776,1028,748,3276,1709,1567
"전라남도",장흥군,3531,1762,1769,1325,744,581,2206,1018,1188
"전라남도",강진군,3051,1539,1512,1026,584,442,2025,955,1070
"전라남도",해남군,6119,3323,2796,2261,1347,914,3858,1976,1882
"전라남도",영암군,4509,2391,2118,1604,903,701,2905,1488,1417
"전라남도",무안군,6088,3325,2763,2429,1424,1005,3659,1901,1758
"전라남도",함평군,3537,1797,1740,1253,708,545,2284,1089,1195
"전라남도",영광군,4851,2429,2422,1733,992,741,3118,1437,1681
"전라남도",장성군,3732,1996,1736,1325,755,570,2407,1241,1166
"전라남도",완도군,4325,2249,2076,1438,872,566,2887,1377,1510
"전라남도",진도군,2990,1527,1463,1057,605,452,1933,922,1011
"전라남도",신안군,3961,2133,1828,1206,742,464,2755,1391,1364
"경상북도",소계,177436,99709,77727,63437,37667,25770,113999,62042,51957
"경상북도",포항시남구,12551,7444,5107,4656,2846,1810,7895,4598,3297
"경상북도",포항시북구,15008,8799,6209,5801,3522,2279,9207,5277,3930
"경상북도",경주시,16273,9294,6979,5887,3435,2452,10386,5859,4527
"경상북도",김천시,10448,5682,4766,3842,2247,1595,6606,3435,3171
"경상북도",안동시,13227,7295,5932,5161,3039,2122,8066,4256,3810
"경상북도",구미시,17310,10185,7125,6607,3947,2660,10703,6238,4465
"경상북도",영주시,8205,4534,3671,3003,1753,1250,5202,2781,2421
"경상북도",영천시,8359,4727,3632,2886,1720,1166,5473,3007,2466
"경상북도",상주시,9420,4968,4452,3072,1801,1271,6348,3167,3181
"경상북도",문경시,6449,3487,2962,2109,1289,820,4340,2198,2142
"경상북도",경산시,15363,8977,6386,5633,3389,2244,9730,5588,4142
"경상북도",의성군,5898,3058,2840,1804,1050,754,4094,2008,2086
"경상북도",청송군,2725,1450,1275,770,445,325,1955,1005,950
"경상북도",영양군,1845,944,901,582,333,249,1263,611,652
"경상북도",영덕군,3576,1866,1710,1150,675,475,2426,1191,1235
